column_name1,column_name2,statistic,p_value,dof,,,
airline,flight,1500720,0,7800,,,
airline,source_city,5741.91713859472,0,25,,,
airline,departure_time,9763.08837697071,0,25,,,statistic high mean clumns are more related
airline,stops,18167.0055791689,0,10,,,"p_value <0.05 means null hypothesis reject, null hypothesis is two column are not related"
airline,arrival_time,28931.3002094992,0,25,,," DOF: higher degrees of freedom value means that there are more independent
 pieces of information in the data, allowing for more flexibility 
and variability in the distribution of frequencies across the cell"
airline,destination_city,6284.30950685941,0,25,,,
airline,class,60493.8900306543,0,5,,,
airline,travel_route,23474.4628130274,0,145,,,
flight,source_city,1477268.89773758,0,7800,,,
flight,departure_time,1470861.59127953,0,7800,,,
flight,stops,160501.902175523,0,3120,,,
flight,arrival_time,335020.02621457,0,7800,,,
flight,destination_city,303237.384594269,0,7800,,,
flight,class,72671.167654561,0,1560,,,
flight,travel_route,2627135.39771264,0,45240,,,
source_city,departure_time,10362.27725454,0,25,,,
source_city,stops,2429.07448064257,0,10,,,
source_city,arrival_time,3581.80137455404,0,25,,,
source_city,destination_city,64204.8726943922,0,25,,,
source_city,class,236.309333200723,4.7492180239145E-49,5,,,
source_city,travel_route,1500720,0,145,,,
departure_time,stops,3555.51133598677,0,10,,,
departure_time,arrival_time,33397.816387905,0,25,,,
departure_time,destination_city,1593.76383986964,0,25,,,
departure_time,class,1472.59680895499,0,5,,,
departure_time,travel_route,16020.7412490538,0,145,,,
stops,arrival_time,2622.10929343904,0,10,,,
stops,destination_city,6207.17403400281,0,10,,,
stops,class,5237.64635787507,0,2,,,
stops,travel_route,13320.1115356354,0,58,,,
arrival_time,destination_city,21632.4589605563,0,25,,,
arrival_time,class,3367.5983611293,0,5,,,
arrival_time,travel_route,30865.7921575793,0,145,,,
destination_city,class,240.324554876484,6.54051553395249E-50,5,,,
destination_city,travel_route,1500720,0,145,,,
class,travel_route,1139.7391367189,2.28394449262078E-221,29,,,
